user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
6582720954740523010,6881240846054853890,😭😂🤣🤣🤣#staysafe #gagalkanomnibuslaw #stayhealthy #indonesia🇮🇩 #omnibuslaw #fypppppppppppppp #bengekmoment #bengek,1602163737,"{'width': 576, 'height': 1040, 'ratio': 52, 'duration': 52}",['https://v16-web-newkey.tiktokcdn.com/b300b712d90e29e6e1544953804f09cd/5f84180f/video/tos/alisg/tos-alisg-pve-0037c001/78f75ce7562743dd8c306884ac216c37/?a=1988&br=3092&bt=1546&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=anVydGY1djprdzMzZzgzM0ApODVlZjo1NWU1NzNoOzNkNGdmMG1rMGNzMnNfLS0zLzRzc2ItLl8tMGM1YjEvYS4zNV46Yw%3D%3D&vl=&vr='],2100000,115700,30100,13700000
6565716461816627202,6880395711578377474,#gagalkanomnibuslaw #tolakomnibuslaw #omnibuslaw,1601966965,"{'width': 540, 'height': 900, 'ratio': 12, 'duration': 12}",['https://v19-web-newkey.tiktokcdn.com/4f1c800e40f4d35269d6d1620e049e2b/5f8417e7/video/tos/alisg/tos-alisg-pve-0037c001/195d504cc70142b795c72d95b4fd937e/?a=1988&br=3886&bt=1943&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M2h4Z25meGU0dzMzMzgzM0ApZzdkNGQ8Ozw3NzRoaDpoZ2dxaTRmbWttMnJfLS1jLzRzcy9hYWMtMV81MmItMzQtYTI6Yw%3D%3D&vl=&vr='],1400000,16900,15900,15400000
6549916366450425858,6880840985685937410,Setujuu. No debat!! #omnibuslaw #tolakruuciptakerja #mositidakpercaya #dpr,1602070638,"{'width': 540, 'height': 960, 'ratio': 33, 'duration': 33}",['https://v16-web-newkey.tiktokcdn.com/297c61b8e6558126d845cf57d4696d4d/5f8417fc/video/tos/alisg/tos-alisg-pve-0037c001/a6a9e4dbd03e45b187c9ce61e414e797/?a=1988&br=1206&bt=603&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M3B2dGR1am10dzMzNzgzM0ApOzRkZWRnNGU3Nzs7NzkzNGdiZ2IuY2k0ZHJfLS1gLzRzc2FiYC4xLS0zNDMyYzYvMy86Yw%3D%3D&vl=&vr='],1400000,33700,14300,8000000
6868285880634098690,6880392980344179969,"Kalau suara wakil rakyat yang kontra aja bisa dimute, gmn suara rakyat? 😥😭 #fyp #tiktokberita #info #omnibuslaw #dpr",1601966334,"{'width': 576, 'height': 1024, 'ratio': 54, 'duration': 54}",['https://v16-web-newkey.tiktokcdn.com/b4860043150c09a469a9493035498575/5f841811/video/tos/alisg/tos-alisg-pve-0037c001/816adc6ba6b54d3ca2e404d3cc6a22b1/?a=1988&br=874&bt=437&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=Mzh0N2U7ZnQ0dzMzOTgzM0ApOzc3Nzs2Nzw5NzM7aDg2NmdtX2otX3FoLnJfLS1eLzRzc2FgYC1jLTU1YmItLV5iYWI6Yw%3D%3D&vl=&vr='],1000000,87900,32100,10700000
6861839750992266241,6880863689394752769,Waduh Ditangkap kenapa ya ? ada yg tau kejadian dimana ? #tiktokberita #omnibuslaw,1602075924,"{'width': 576, 'height': 1024, 'ratio': 32, 'duration': 32}",['https://v16-web-newkey.tiktokcdn.com/867e2a82bd937cc859c984e8d4f8d907/5f8417fb/video/tos/alisg/tos-alisg-pve-0037c001/2908dba279a04bfc812ca318e8a5bef0/?a=1988&br=3352&bt=1676&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=ajVoN2U7ZnJ1dzMzOTgzM0ApOzc3Nzs7aGQ0NzZoaWlmZGdqZGctX3ExbXJfLS1eLzRzc2M0YDE2YjFfYC8wLWJgXzE6Yw%3D%3D&vl=&vr='],1000000,19200,33600,19700000
6865980676018177025,6881282485242645762,Tunggu Part 2-nya #kuygirl #stm  #omnibuslaw #dpr,1602173432,"{'width': 480, 'height': 854, 'ratio': 20, 'duration': 20}",['https://v16-web-newkey.tiktokcdn.com/70466a07d7d0f6057a2aac9d5890d7a1/5f8417ef/video/tos/alisg/tos-alisg-pve-0037c001/9eff9605136a474baaa07f28cfff54ec/?a=1988&br=2044&bt=1022&cr=0&cs=0&dr=3&ds=2&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=ajxvZWYzNWhtdzMzNzgzM0ApNjVkaWc3NzxlNzg7PGU5aGdrM2Rya2xiZnNfLS1eLzRzcy9fNGBeY2MzNS9jY2AyYGI6Yw%3D%3D&vl=&vr='],990000,11700,3969,5700000
6776818496686769153,6881318538494201089,Mas almet biru siapa namanya 🤧 alisnya bikin insekyur 😌 (ib : org2 difyp) #fyp #foryoupage #omnibuslaw #tolakomnimbuslaw,1602181826,"{'width': 576, 'height': 1056, 'ratio': 24, 'duration': 24}",['https://v16-web-newkey.tiktokcdn.com/3ef5fa488ac08e4e932b6f5056c0c7c9/5f8417f3/video/tos/alisg/tos-alisg-pve-0037c001/babb56c9f3244517b6e2db78e6bb1d9d/?a=1988&br=2512&bt=1256&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M2h3O2g1djxvdzMzNjgzM0ApZTszOGk1PDs6N2k4OTM3OWcwZWZgMGNraXNfLS0vLzRzczAzM14xLTFfMGEtNDM0LmE6Yw%3D%3D&vl=&vr='],983500,24900,24200,4300000
6553797498775158785,6881630100115393793,woii laa : v #fyp #omnibus #omnibuslaw #omnibuslawciptakerja #demo #dpr #tolakomnibuslaw,1602254367,"{'width': 576, 'height': 1024, 'ratio': 28, 'duration': 28}",['https://v16-web-newkey.tiktokcdn.com/7bdefc03bfca6d0bb21639271920ce0b/5f8417f7/video/tos/alisg/tos-alisg-pve-0037c001/7ec934cafa954fc98ca04d709e8286c2/?a=1988&br=4214&bt=2107&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=andoNjVscDU6eDMzOjgzM0ApMzZnPGU3ZGU0N2c7M2ZnZGdhaGhrLy5oYC1fLS0zLzRzczFgXjVfMjNhYDRjM2BiYWA6Yw%3D%3D&vl=&vr='],981000,19300,23600,4400000
6811526260636992513,6880834611178409218,WOY LAH GUA SEKARANG DIKURUNG DIKAMAR AMA BAPAK GUA 😭 #omnibuslaw #fyp #aksi #WinWithASmile #dprri #demo #tolakruuciptakerja #foryoupage #foryou,1602069153,"{'width': 576, 'height': 1024, 'ratio': 43, 'duration': 43}",['https://v16-web-newkey.tiktokcdn.com/e3e76a85c20121a1ad03fad09c84fb55/5f841806/video/tos/alisg/tos-alisg-pve-0037c001/ef376ba536a845d68b0e511f4be1d48d/?a=1988&br=1614&bt=807&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=amg1ZWYzNXB0dzMzNzgzM0ApO2ZmOmk0OTtlNzM6NzRlNWdta2hya2xqMXJfLS1eLzRzc2NjNGM2NjA2Ly5jNmEtLzI6Yw%3D%3D&vl=&vr='],817200,14400,11600,4700000
6850483255860691970,6881278367098817793,semangat❤❤ #omnibuslaw #tolakomnibuslaw #gagalkanomnibuslaw #mositidakpercaya #tolakruukuhp #fypシ #viral #masukberanda,1602172473,"{'width': 576, 'height': 1024, 'ratio': 19, 'duration': 19}",['https://v16-web-newkey.tiktokcdn.com/7637d6fc6f4986a3aea3397e6a57181d/5f8417ee/video/tos/alisg/tos-alisg-pve-0037c001/20f15929e6194b8a9c9aff7246e8b8ef/?a=1988&br=3554&bt=1777&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M29qNztsOGZtdzMzNjgzM0ApaWY5ZzdmNmQ0NzgzNDplNGdwLjY1Z20uYHNfLS0vLzRzc2I2LzM0NDViXjVfLTIuLWI6Yw%3D%3D&vl=&vr='],765800,10600,10300,3300000
6781680590892254210,6881090375675579649,anak kesehatan gaboleh ikutan deng #tolakomnibuslaw #omnibuslaw #jegalsampaigagal #tolakruuciptakerja,1602128704,"{'width': 576, 'height': 1152, 'ratio': 19, 'duration': 19}",['https://v16-web-newkey.tiktokcdn.com/39142bec2e7074b98cc973154ea8ee47/5f8417ee/video/tos/alisg/tos-alisg-pve-0037c001/aa845fb35f754e31813115d659a6f0e7/?a=1988&br=3038&bt=1519&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=anV2OGd1amc7dzMzMzgzM0ApZWRnZjtpOmVnNzk7aDw0N2dvNWdwY2lzanNfLS1hLzRzcy0vXy8zLjQzLWFiM15fXi86Yw%3D%3D&vl=&vr='],740400,2076,5759,7200000
6803292036860265474,6880498732715035906,#repost #fyp #omnibuslaw,1601990950,"{'width': 576, 'height': 1040, 'ratio': 53, 'duration': 53}",['https://v16-web-newkey.tiktokcdn.com/dda0deb0490dc710c5214c7a744676fa/5f841810/video/tos/alisg/tos-alisg-pve-0037c001/2e4d9af90b334302802739a16f2570a6/?a=1988&br=1130&bt=565&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=anZ5M2g7ZnU6dzMzMzgzM0ApMzc7OWg4aTw3N2k8NGhlNWdyLi01X3FwLnJfLS0tLzRzc2IvXzMvXmE2NjNeMzQzLjE6Yw%3D%3D&vl=&vr='],730200,45100,23800,9300000
